Pandas,Team,ID,Raw Odds,Odds Shark,Odds Shark Opponents,College Poll Archive,Bart Torvik,Neutral Site Games,BT Player Log,Scores and Odds,
LIU,Long Island University,long-island-university,LongIsland,LIU Sharks,,,LIU Brooklyn,Long Island University,LIU Brooklyn,LIU,
Longwood,Longwood,longwood,longwood,Longwood Lancers,Longwood,,Longwood,Longwood,Longwood,Longwood,
Longwood,Longwood,longwood,Longwood,Longwood Lancers,Longwood,,Longwood,Longwood,Longwood,Longwood,
Louisiana,Louisiana,louisiana-lafayette,UL-Lafayette,Louisiana-Lafayette Ragin' Cajuns,,,Louisiana Lafayette,Louisiana,Louisiana Lafayette,Louisiana-Lafayette,
Louisiana,Louisiana,louisiana-lafayette,ULLafayette,Louisiana-Lafayette Ragin' Cajuns,,,Louisiana Lafayette,Louisiana,Louisiana Lafayette,Louisiana-Lafayette,
LSU,Louisiana State,louisiana-state,LSU,LSU Tigers,,LSU,LSU,Louisiana State,LSU,LSU,
Louisiana Tech,Louisiana Tech,louisiana-tech,LouisianaTech,Louisiana Tech Bulldogs,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,
Louisiana-Monroe,Louisiana-Monroe,louisiana-monroe,UL-Monroe,Louisiana-Monroe Warhawks,Louisiana-Monroe,,Louisiana Monroe,Louisiana-Monroe,Louisiana Monroe,Louisiana-Monroe,
Louisiana-Monroe,Louisiana-Monroe,louisiana-monroe,ULMonroe,Louisiana-Monroe Warhawks,Louisiana-Monroe,,Louisiana Monroe,Louisiana-Monroe,Louisiana Monroe,Louisiana-Monroe,
Louisville,Louisville,louisville,Louisville,Louisville Cardinals,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,
Loyola Chicago,Loyola (IL),loyola-il,LoyolaChicago,Loyola-Chicago Ramblers,,Loyola Chicago,Loyola Chicago,Loyola Chicago,Loyola Chicago,Loyola Chicago,
Loyola (MD),Loyola (MD),loyola-md,LoyolaMaryland,Loyola-Maryland Greyhounds,,,Loyola MD,Loyola (MD),Loyola MD,Loyola Maryland,
Loyola Marymount,Loyola Marymount,loyola-marymount,LoyolaMarymount,Loyola Marymount Lions,Loyola Marymount,,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,
LSU,LSU,louisiana-state,LSU,LSU Tigers,LSU,LSU,LSU,LSU,LSU,LSU,
Maine,Maine,maine,Maine,Maine Black Bears,Maine,,Maine,Maine,Maine,Maine,
Manhattan,Manhattan,manhattan,Manhattan,Manhattan Jaspers,Manhattan,,Manhattan,Manhattan,Manhattan,Manhattan,
Marist,Marist,marist,Marist,Marist Red Foxes,Marist,,Marist,Marist,Marist,Marist,
Marquette,Marquette,marquette,Marquette,Marquette Golden Eagles,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,
Marshall,Marshall,marshall,Marshall,Marshall Thundering Herd,Marshall,,Marshall,Marshall,Marshall,Marshall,
Maryland,Maryland,maryland,Maryland,Maryland Terrapins,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,
UMBC,Maryland-Baltimore County,maryland-baltimore-county,MDBaltimoreCo,UMBC Retrievers,,,UMBC,Maryland-Baltimore County,UMBC,UMBC,
Maryland-Eastern Shore,Maryland-Eastern Shore,maryland-eastern-shore,mdeasternshore,Maryland-Eastern Shore Hawks,Maryland-Eastern Shore,,Maryland Eastern Shore,Maryland-Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,
Maryland-Eastern Shore,Maryland-Eastern Shore,maryland-eastern-shore,MDEasternShore,Maryland-Eastern Shore Hawks,Maryland-Eastern Shore,,Maryland Eastern Shore,Maryland-Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,
UMass,Massachusetts,massachusetts,Massachusetts,UMass Minutemen,,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,
UMass-Lowell,Massachusetts-Lowell,massachusetts-lowell,UMassLowell,UMass-Lowell River Hawks,,,UMass Lowell,Massachusetts-Lowell,UMass Lowell,Massachusetts-Lowell,
McNeese State,McNeese State,mcneese-state,McNeeseState,McNeese State Cowboys,McNeese State,,McNeese State,McNeese State,McNeese St.,McNeese State,
Memphis,Memphis,memphis,Memphis,Memphis Tigers,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,
Memphis,Memphis,memphis,MemphisU,Memphis Tigers,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,
Mercer,Mercer,mercer,Mercer,Mercer Bears,Mercer,,Mercer,Mercer,Mercer,Mercer,
Merrimack,Merrimack,merrimack,Merrimack,Merrimack Warriors,Merrimack,,Merrimack,Merrimack,Merrimack,Merrimack College,
Miami,Miami (FL),miami-fl,MiamiFlorida,Miami Hurricanes,,Miami,Miami FL,Miami (Fla.),Miami FL,Miami (FL),
Miami (OH),Miami (OH),miami-oh,MiamiOhio,Miami-Ohio RedHawks,,,Miami OH,Miami (Ohio),Miami OH,Miami (OH),
Miami (OH),Miami (OH),miami-oh,MiamiOhio,Miami-Ohio RedHawks,,,Miami OH,Miami (OH),Miami OH,Miami (OH),
Michigan,Michigan,michigan,Michigan,Michigan Wolverines,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,
Michigan State,Michigan State,michigan-state,MichiganSt.,Michigan State Spartans,Michigan State,Michigan State,Michigan State,Michigan State,Michigan St.,Michigan State,
Michigan State,Michigan State,michigan-state,MichiganState,Michigan State Spartans,Michigan State,Michigan State,Michigan State,Michigan State,Michigan St.,Michigan State,
Middle Tennessee,Middle Tennessee,middle-tennessee,MiddleTennSt,Middle Tennessee Blue Raiders,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,
Milwaukee,Milwaukee,milwaukee,WiscMilwaukee,Wisconsin-Milwaukee Panthers,,,Milwaukee,Milwaukee,Milwaukee,Milwaukee,
Minnesota,Minnesota,minnesota,Minnesota,Minnesota Golden Gophers,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,
Minnesota,Minnesota,minnesota,MinnesotaU,Minnesota Golden Gophers,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,
Ole Miss,Mississippi,mississippi,Mississippi,Ole Miss Rebels,,Mississippi,Mississippi,Mississippi,Mississippi,Ole Miss,
Mississippi State,Mississippi State,mississippi-state,MississippiSt,Mississippi State Bulldogs,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Mississippi St.,Mississippi State,
Mississippi State,Mississippi State,mississippi-state,MississippiState,Mississippi State Bulldogs,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Mississippi St.,Mississippi State,
Mississippi Valley State,Mississippi Valley State,mississippi-valley-state,MississippiValleyState,Mississippi Valley State Delta Devils,Mississippi Valley State,,Mississippi Valley State,Mississippi Valley State,Mississippi Valley St.,Mississippi Valley State,
Mississippi Valley State,Mississippi Valley State,mississippi-valley-state,MissValleySt,Mississippi Valley State Delta Devils,Mississippi Valley State,,Mississippi Valley State,Mississippi Valley State,Mississippi Valley St.,Mississippi Valley State,
Missouri,Missouri,missouri,Missouri,Missouri Tigers,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,
Missouri State,Missouri State,missouri-state,MissouriSt,Missouri State Bears,Missouri State,,Missouri State,Missouri State,Missouri St.,Missouri State,
Missouri State,Missouri State,missouri-state,MissouriState,Missouri State Bears,Missouri State,,Missouri State,Missouri State,Missouri St.,Missouri State,
Kansas City,Missouri-Kansas City,missouri-kansas-city,MoKansasCity,UMKC Roos,,,UMKC,Missouri-Kansas City,UMKC,Kansas City,
Kansas City,Missouri-Kansas City,missouri-kansas-city,UMKC,UMKC Roos,,,UMKC,Missouri-Kansas City,UMKC,Kansas City,
Monmouth,Monmouth,monmouth,Monmouth,Monmouth Hawks,Monmouth,,Monmouth,Monmouth,Monmouth,Monmouth,
Montana,Montana,montana,Montana,Montana Grizzlies,Montana,,Montana,Montana,Montana,Montana,
Montana State,Montana State,montana-state,MontanaState,Montana State Bobcats,Montana State,,Montana State,Montana State,Montana St.,Montana State,
Morehead State,Morehead State,morehead-state,MoreheadState,Morehead State Eagles,Morehead State,,Morehead State,Morehead State,Morehead St.,Morehead State,
Morgan State,Morgan State,morgan-state,morganstate,Morgan State Bears,Morgan State,,Morgan State,Morgan State,Morgan St.,Morgan State,
Morgan State,Morgan State,morgan-state,MorganState,Morgan State Bears,Morgan State,,Morgan State,Morgan State,Morgan St.,Morgan State,
Mount St. Mary's,Mount St. Mary's,mount-st-marys,MountStMarys,Mount St. Mary's Mountaineers,Mount St. Mary's,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,
Mount St. Mary's,Mount St. Mary's,mount-st-marys,Mt.St.Mary's,Mount St. Mary's Mountaineers,Mount St. Mary's,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,
Murray State,Murray State,murray-state,MurrayState,Murray State Racers,Murray State,Murray State,Murray State,Murray State,Murray St.,Murray State,
Navy,Navy,navy,Navy,Navy Midshipmen,Navy,,Navy,Navy,Navy,Navy,
NC State,NC State,north-carolina-state,NCState,NC State Wolfpack,,NC State,North Carolina State,NC State,North Carolina St.,North Carolina State,
Nebraska,Nebraska,nebraska,Nebraska,Nebraska Cornhuskers,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,
Nevada,Nevada,nevada,Nevada,Nevada Wolf Pack,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,
UNLV,Nevada-Las Vegas,nevada-las-vegas,UNLV,UNLV Runnin' Rebels,,UNLV,UNLV,Nevada-Las Vegas,UNLV,UNLV,
New Hampshire,New Hampshire,new-hampshire,NewHampshire,New Hampshire Wildcats,New Hampshire,,New Hampshire,New Hampshire,New Hampshire,New Hampshire,
New Mexico,New Mexico,new-mexico,NewMexico,New Mexico Lobos,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,
New Mexico State,New Mexico State,new-mexico-state,NewMexicoSt.,New Mexico State Aggies,New Mexico State,,New Mexico State,New Mexico State,New Mexico St.,New Mexico State,
New Mexico State,New Mexico State,new-mexico-state,NewMexicoState,New Mexico State Aggies,New Mexico State,,New Mexico State,New Mexico State,New Mexico St.,New Mexico State,
New Orleans,New Orleans,new-orleans,NewOrleans,New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,
New Orleans,New Orleans,new-orleans,NewOrleansU,New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,
Niagara,Niagara,niagara,Niagara,Niagara Purple Eagles,Niagara,,Niagara,Niagara,Niagara,Niagara,
Nicholls State,Nicholls State,nicholls-state,NichollsState,Nicholls State Colonels,Nicholls State,,Nicholls State,Nicholls State,Nicholls St.,Nicholls,
NJIT,NJIT,njit,NJIT,NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,
NJIT,NJIT,njit,NJTech,NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,
Norfolk State,Norfolk State,norfolk-state,NorfolkSt,Norfolk State Spartans,Norfolk State,,Norfolk State,Norfolk State,Norfolk St.,Norfolk State,
Norfolk State,Norfolk State,norfolk-state,NorfolkState,Norfolk State Spartans,Norfolk State,,Norfolk State,Norfolk State,Norfolk St.,Norfolk State,
North Alabama,North Alabama,north-alabama,NorthAlabama,North Alabama Lions,North Alabama,,North Alabama,North Alabama,North Alabama,North Alabama,
UNC,North Carolina,north-carolina,NorthCarolina,North Carolina Tar Heels,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,
North Carolina A&T,North Carolina A&T,north-carolina-at,N.CarolinaA&T,North Carolina A&T Aggies,North Carolina A&T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,
North Carolina A&T,North Carolina A&T,north-carolina-at,N.CarolinaAT,North Carolina A&T Aggies,North Carolina A&T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,
North Carolina A&T,North Carolina A&T,north-carolina-at,NorthCarolinaAT,North Carolina A&T Aggies,North Carolina A&T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,
North Carolina Central,North Carolina Central,north-carolina-central,NCCentral,North Carolina Central Eagles,North Carolina Central,,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,
North Carolina Central,North Carolina Central,north-carolina-central,NCCENTRAL,North Carolina Central Eagles,North Carolina Central,,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,
North Carolina Central,North Carolina Central,north-carolina-central,NorthCarolinaCentral,North Carolina Central Eagles,North Carolina Central,,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,
NC State,North Carolina State,north-carolina-state,NCState,NC State Wolfpack,North Carolina State,NC State,North Carolina State,North Carolina State,North Carolina St.,North Carolina State,
UNC Asheville,North Carolina-Asheville,north-carolina-asheville,NCAsheville,UNC Asheville Bulldogs,,,UNC Asheville,North Carolina-Asheville,UNC Asheville,UNC Asheville,
UNC Greensboro,North Carolina-Greensboro,north-carolina-greensboro,NCGreensboro,UNC Greensboro Spartans,,,UNC Greensboro,North Carolina-Greensboro,UNC Greensboro,UNCG,
UNC Wilmington,North Carolina-Wilmington,north-carolina-wilmington,NCWilmington,UNC Wilmington Seahawks,,,UNC Wilmington,North Carolina-Wilmington,UNC Wilmington,UNCW,
North Dakota,North Dakota,north-dakota,NorthDakota,North Dakota Fighting Hawks,North Dakota,,North Dakota,North Dakota,North Dakota,North Dakota,
North Dakota State,North Dakota State,north-dakota-state,NDakotaSt,North Dakota State Bison,North Dakota State,,North Dakota State,North Dakota State,North Dakota St.,North Dakota State,
North Dakota State,North Dakota State,north-dakota-state,NorthDakotaState,North Dakota State Bison,North Dakota State,,North Dakota State,North Dakota State,North Dakota St.,North Dakota State,
North Dakota State,North Dakota State,north-dakota-state,NorthDakotaSt,North Dakota State Bison,North Dakota State,,North Dakota State,North Dakota State,North Dakota St.,North Dakota State,
North Florida,North Florida,north-florida,NorthFlorida,North Florida Ospreys,North Florida,,North Florida,North Florida,North Florida,North Florida,
North Texas,North Texas,north-texas,NorthTexas,North Texas Mean Green,North Texas,,North Texas,North Texas,North Texas,North Texas,
Northeastern,Northeastern,northeastern,Northeastern,Northeastern Huskies,Northeastern,,Northeastern,Northeastern,Northeastern,Northeastern,
Northern Arizona,Northern Arizona,northern-arizona,NorthernArz,Northern Arizona Lumberjacks,Northern Arizona,,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,
Northern Arizona,Northern Arizona,northern-arizona,NorthernArizona,Northern Arizona Lumberjacks,Northern Arizona,,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,
Northern Colorado,Northern Colorado,northern-colorado,No.Colorado,Northern Colorado Bears,Northern Colorado,,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,
Northern Colorado,Northern Colorado,northern-colorado,NorthernColorado,Northern Colorado Bears,Northern Colorado,,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,
Northern Illinois,Northern Illinois,northern-illinois,NoIllinois,Northern Illinois Huskies,Northern Illinois,,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,
Northern Illinois,Northern Illinois,northern-illinois,NorthernIllinois,Northern Illinois Huskies,Northern Illinois,,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,
Northern Iowa,Northern Iowa,northern-iowa,NorthernIowa,Northern Iowa Panthers,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,
Northern Kentucky,Northern Kentucky,northern-kentucky,NorthernKentucky,Northern Kentucky Norse,Northern Kentucky,,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,
Northwestern,Northwestern,northwestern,Northwestern,Northwestern Wildcats,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,
Northwestern State,Northwestern State,northwestern-state,NorthwesternSt,Northwestern State Demons,Northwestern State,,Northwestern State,Northwestern State,Northwestern St.,Northwestern State,
Northwestern State,Northwestern State,northwestern-state,NorthwesternState,Northwestern State Demons,Northwestern State,,Northwestern State,Northwestern State,Northwestern St.,Northwestern State,
Notre Dame,Notre Dame,notre-dame,NotreDame,Notre Dame Fighting Irish,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,
Oakland,Oakland,oakland,Oakland,Oakland Golden Grizzlies,Oakland,,Oakland,Oakland,Oakland,Oakland,
Ohio,Ohio,ohio,Ohio,Ohio Bobcats,Ohio,,Ohio,Ohio,Ohio,Ohio,
Ohio State,Ohio State,ohio-state,OhioSt.,Ohio State Buckeyes,Ohio State,Ohio State,Ohio State,Ohio State,Ohio St.,Ohio State,
Ohio State,Ohio State,ohio-state,OhioState,Ohio State Buckeyes,Ohio State,Ohio State,Ohio State,Ohio State,Ohio St.,Ohio State,
Oklahoma,Oklahoma,oklahoma,Oklahoma,Oklahoma Sooners,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,
Oklahoma State,Oklahoma State,oklahoma-state,OklahomaState,Oklahoma State Cowboys,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma St.,Oklahoma State,
Oklahoma State,Oklahoma State,oklahoma-state,OklahomaSt.,Oklahoma State Cowboys,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma St.,Oklahoma State,
Old Dominion,Old Dominion,old-dominion,OldDominion,Old Dominion Monarchs,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,
Ole Miss,Ole Miss,mississippi,Mississippi,Ole Miss Rebels,,Mississippi,Mississippi,Ole Miss,Mississippi,Ole Miss,
Omaha,Omaha,nebraska-omaha,NebraskaOmaha,Nebraska-Omaha Mavericks,,,Nebraska Omaha,Omaha,Nebraska Omaha,Omaha,
Oral Roberts,Oral Roberts,oral-roberts,OralRoberts,Oral Roberts Golden Eagles,Oral Roberts,,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,
Oregon,Oregon,oregon,Oregon,Oregon Ducks,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,
Oregon State,Oregon State,oregon-state,OregonSt.,Oregon State Beavers,Oregon State,,Oregon State,Oregon State,Oregon St.,Oregon State,
Oregon State,Oregon State,oregon-state,OregonState,Oregon State Beavers,Oregon State,,Oregon State,Oregon State,Oregon St.,Oregon State,
Pacific,Pacific,pacific,Pacific,Pacific Tigers,Pacific,,Pacific,Pacific,Pacific,Pacific,
Penn,Penn,pennsylvania,Pennsylvania,Pennsylvania Quakers,,,Penn,Penn,Penn,Penn,
Penn State,Penn State,penn-state,PennState,Penn State Nittany Lions,Penn State,Penn State,Penn State,Penn State,Penn St.,Penn State,
Penn,Pennsylvania,pennsylvania,Penn,Pennsylvania Quakers,Pennsylvania,,Penn,Pennsylvania,Penn,Penn,
Penn,Pennsylvania,pennsylvania,Pennsylvania,Pennsylvania Quakers,Pennsylvania,,Penn,Pennsylvania,Penn,Penn,
Pepperdine,Pepperdine,pepperdine,Pepperdine,Pepperdine Waves,Pepperdine,,Pepperdine,Pepperdine,Pepperdine,Pepperdine,
Pitt,Pitt,pittsburgh,Pittsburgh,Pittsburgh Panthers,,Pittsburgh,Pittsburgh,Pitt,Pittsburgh,Pittsburgh,
